FOODID;FOODNAME;LANG
615;Gräddfil, 10-12 % fett;SV
616;Surmjölk, acidophilus-surmjölk, 2,5 % fett, 1 ug vitamin d, probiotika;SV
617;Fil, naturellt, 3,5 % fett;SV
618;Fil, naturellt, lättfil, 2 % fett;SV
619;Yoghurt, naturell, 2,5 % fett, låg laktoshalt;SV
622;Kvarg, naturell, <0,5 % fett;SV
627;Mjölk, ettans mjölk , 1 ug vitamin d;SV
628;Crème fraiche, 28 % fett;SV
629;Grädde, vispgrädde, 38 % fett, låg laktoshalt, ultrapastöriserad;SV
630;Smetana, ca 40 % fett;SV
631;Grädde, vispgrädde, 38 % fett;SV
632;Matlagningsgrädde, 19 % fett, kaffegrädde;SV
633;Grädde, kaffegrädde, lättgrädde, 10 % fett, låg laktoshalt;SV
635;Grynost, fettfri, låg laktoshalt;SV
636;Fil med sylt, ettans fil, 1 % fett, låg laktoshalt;SV
637;Yoghurt, naturell, fettfri, låg laktoshalt, 0,5 ug vitamin d;SV
639;Yoghurt, smaksatt, fettfri;SV
640;Ost, vitmögelost, 26-30 % fett, camembert/brie;SV
641;Ost, gräddost, 30 % fett, turunmaa/oltermanni/korsholm/masurkka;SV
642;Ost, emmentalost, 27-30 % fett, rödstämplad;SV
643;Ost, hård småhålig ost, 24-27 % fett, edam;SV
644;Ost, halvhård ost, 9-11 % fett, lätt, edam/kadett;SV
645;Ost, getost, 20-25 % fett, hård ost;SV
647;Smältost, 20-24 % fett, medelfet;SV
648;Smältost, 27-35 % fett, helfet;SV
649;Grynost, 2-5 % fett;SV
650;Ost, hemost, 9-14 % fett, bondost;SV
653;Ost, blåmögelost, 27-30 % fett, aura/danazole, medelvärde;SV
654;Ost, gouda/salaneuvos, medelvärde, 28-30 % fett;SV
655;Ost, halvhård ost, 25-35 % fett, lappi/polar/småland/billinge/rustholli;SV
657;Ost, brödost, 17-23 % fett;SV
658;Färskost, 36-44 % fett, helfet, kasakka/musta-pekka;SV
659;Smältost, 9-12 % fett, fettsnål;SV
661;Glass, mjukglass, soft ice med våffel;SV
663;Glass, gräddglass;SV
664;Glass, gräddglasspinne med chokladöverdrag, medelvärde;SV
665;Glass, gräddglasstrut;SV
666;Glass, mjölkglass;SV
667;Glass, sockerfri, syntetiskt sötad, 6,5 % fett;SV
668;Glass, gräddglass, > 12 % fett, medelvärde;SV
669;Glass, fettfri;SV
672;Mjölkpulver, fettfritt;SV
675;Mjölk, lättmjölk, låg laktoshalt, 1 ug vitamin d;SV
680;Fil, naturellt, 1 % fett, ettans fil;SV
682;Färskost, 30 % fett, smaksatt, creme bonjour/cantadou;SV
684;Mjölk, lättmjölk, 1 ug vitamin d;SV
685;Yoghurt, smaksatt, fettfri, delvis syntetiskt sötad, medelvärde;SV
686;Yoghurt, smaksatt, 7 % fett;SV
687;Yoghurt, matlagningsyoghurt, 6-8 % fett, låg laktoshalt;SV
689;Mjölk, helmjölk, 1 ug vitamin d;SV
690;Ost, salladost, 18 % fett, av komjölk, i saltlag;SV
691;Ost, emmentalost, 27-30 % fett, storhålig, blåstämplad/gruyere;SV
698;Ost, cheddar, 34 % fett;SV
699;Matlagningsgrädde, vegetabilisk fettblandning, 15 % fett;SV
701;Svinkropp, medelfet;SV
703;Griskotlett/rygg, tjockt fettlager;SV
704;Skinka, med fläsk;SV
705;Grisbog;SV
706;Sidfläsk av gris;SV
707;Bacon, fet;SV
708;Ryggfläsk av gris, späck;SV
709;Grislägg;SV
711;Köttfärs, gris-nöt;SV
712;Köttfärs, nötfärs, låg fetthalt, 7 % fett;SV
713;Griskött, medelvärde;SV
714;Nötkött, fett, medelvärde;SV
716;Nötkropp, medelfet, 13 % fett;SV
718;Nötstek;SV
719;Nötbog/högrev, soppkött av nöt;SV
720;Nötlägg;SV
721;Nötbringa;SV
722;Nöt, yttre filé;SV
723;Kållapp;SV
726;Kalvstek, rå;SV
730;Lammkött, låg fetthalt;SV
731;Lammkött, fett;SV
732;Lammstek, rå;SV
734;Renkött;SV
735;Älgkött;SV
736;Hare;SV
737;Kanin;SV
741;Köttkonserv, nötkött;SV
743;Köttkonserv, gris-nöt;SV
747;Aladåb på kött;SV
748;Grisstek, låg fetthalt;SV
750;Höna;SV
751;Kyckling, hel, med skinn, rå;SV
752;Kalkon med skinn;SV
753;Skogsfågel;SV
754;Kyckling, strimlad;SV
775;Pålägg av helt kött, bastupalvad skinka, 6 % fett;SV
776;Pålägg av helt kött, pålägg av nötkött, 2,8 % fett;SV
779;Pålägg av helt kött, kokt skinka, 3 % fett;SV
786;Lever, nöt;SV
787;Lever, gris;SV
788;Lever, kyckling;SV
789;Lever, ren;SV
790;Lever, medelvärde;SV
791;Njure;SV
792;Hjärta, nöt;SV
793;Tunga, nöt;SV
794;Blod;SV
797;Pålägg av helt kött, renpålägg, kallrökt;SV
799;Pålägg av helt kött, skinkpålägg, låg fetthalt, 3 % fett;SV
800;Strömming, färsk, östersjön;SV
801;Strömming, saltad, östersjön;SV
802;Strömming, rökt, östersjön;SV
803;Sill, saltad i tunna;SV
804;Torsk;SV
805;Gös;SV
806;Rödfisk, rökt;SV
807;Hälleflundra, rökt;SV
809;Mujka, insjö;SV
810;Mujka, insjö, saltad;SV
811;Mujka, insjö, rökt;SV
812;Abborre;SV
813;Gädda;SV
814;Braxen;SV
815;Sik;SV
816;Sik, rökt;SV
817;Lax, hel;SV
818;Lax, gravad;SV
819;Lake;SV
820;Flundra;SV
821;Ål;SV
822;Regnbågslax, hel, medelvärde;SV
823;Öring;SV
824;Fisk, medelvärde, strömming/mujka/abborre/gädda;SV
825;Nejonöga, rökt;SV
826;Sej, djupfryst;SV
828;Tonfisk, i olja;SV
829;Ansjovis;SV
830;Lax, konserv, i olja;SV
831;Sardin, medelvärde, i olja och tomatsås;SV
832;Romkaviar, mörk störrom;SV
833;Romkräm;SV
834;Blåmussla, i vatten;SV
835;Räka;SV
836;Kräfta;SV
837;Sill, krydd-/saltsill, medelvärde;SV
838;Strömming, krydd-/saltströmming, medelvärde;SV
844;Braxen, rökt;SV
845;Mört;SV
846;Rödfisk, djupfryst;SV
848;Regnbågslaxfilé, hav;SV
851;Äggula, 34 % av äggmassan;SV
852;Äggvita, 66 % av äggmassan;SV
855;Vaktelägg;SV
856;Fisk, rökt, medelvärde, fettsnål;SV
