FOODID;SPECDIET
170;SALTFREE
170;SOYAFREE
170;UNSWEET
172;MILKFREE
172;LACOVEGE
172;LACSFREE
172;SALTFREE
172;SOYAFREE
172;UNSWEET
173;MILKFREE
173;LACOVEGE
173;LACSFREE
173;LACVEGE
173;VEGAN
173;EGGFREE
173;SALTFREE
173;SOYAFREE
173;UNSWEET
173;HIGHFIBR
175;MILKFREE
175;LACOVEGE
175;LACSFREE
175;LACVEGE
175;VEGAN
175;EGGFREE
175;SALTFREE
175;SOYAFREE
175;UNSWEET
176;MILKFREE
176;LACOVEGE
176;LACSFREE
176;LACVEGE
176;VEGAN
176;EGGFREE
176;SALTFREE
176;SOYAFREE
176;UNSWEET
182;MILKFREE
182;LACOVEGE
182;LACSFREE
182;LACVEGE
182;VEGAN
182;EGGFREE
182;NAGLUFRE
182;SALTFREE
182;SOYAFREE
182;UNSWEET
182;GLUTFREE
183;GLUTFREE
183;MILKFREE
183;LACOVEGE
183;LACSFREE
183;LACVEGE
183;VEGAN
183;EGGFREE
183;NAGLUFRE
183;SALTFREE
183;SOYAFREE
183;UNSWEET
184;GLUTFREE
184;MILKFREE
184;LACOVEGE
184;LACSFREE
184;LACVEGE
184;VEGAN
184;EGGFREE
184;UNSWEET
184;SOYAFREE
184;NAGLUFRE
185;GLUTFREE
185;LACOVEGE
185;LACVEGE
185;EGGFREE
185;SALTFREE
185;SOYAFREE
185;UNSWEET
185;MILKFREE
189;MILKFREE
189;LACOVEGE
189;LACSFREE
189;LACVEGE
189;VEGAN
189;EGGFREE
189;SALTFREE
189;SOYAFREE
189;UNSWEET
202;GLUTFREE
202;MILKFREE
202;LACOVEGE
202;LACSFREE
202;LACVEGE
202;VEGAN
202;EGGFREE
202;NAGLUFRE
202;SALTFREE
202;SOYAFREE
202;UNSWEET
204;GLUTFREE
204;MILKFREE
204;LACOVEGE
204;LACSFREE
204;LACVEGE
204;VEGAN
204;EGGFREE
204;LOWPROT
204;NAGLUFRE
204;SOYAFREE
204;SALTFREE
204;UNSWEET
205;GLUTFREE
205;MILKFREE
205;LACOVEGE
205;LACSFREE
205;LACVEGE
205;VEGAN
205;EGGFREE
205;LOWPROT
205;NAGLUFRE
205;SALTFREE
205;SOYAFREE
205;UNSWEET
206;GLUTFREE
206;LACOVEGE
206;LACVEGE
206;EGGFREE
206;NAGLUFRE
206;SALTFREE
206;SOYAFREE
206;UNSWEET
207;GLUTFREE
207;MILKFREE
207;LACOVEGE
207;LACVEGE
207;VEGAN
207;EGGFREE
207;LOWSALT
207;NAGLUFRE
207;SOYAFREE
207;UNSWEET
207;LOWCHOL
209;GLUTFREE
209;MILKFREE
209;LACOVEGE
209;LACSFREE
209;LACVEGE
209;VEGAN
209;EGGFREE
209;NAGLUFRE
209;SALTFREE
